Key,Component,View,Context
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.",Help text under a radio option,Dataviz editor (Refresh tab),"Literal multi-line JSX text inside `<Translate>` in `app/react/V2/Dataviz/editor/components/tabs/RefreshTab.tsx`; shown under the ""Snapshot (scheduled)"" refresh-mode option. Missed by the scanner due to the wrapped multi-line literal."
Refresh mode,Section heading,Settings > Dataviz > Refresh tab,"Heading above the radio options for live, manual snapshot, or scheduled snapshot refresh modes."
Reject all,Button label,Global,Button in the site-wide cookie consent banner that rejects all non-essential cookies.
Related entities created,Stat card label,Settings > Import CSV,"Label above the count of related entities created, shown in a summary card on the import status page."
Relation type,Facet section title,Entity view,"Title of the filter-drawer section for filtering relationships by their relationship type, also used as a grouping option label."
Relationship,Field label,Unresolved,"Label on the text input for the relationship-type name in the ""Add relationship type"" modal; this modal is not currently wired into any page."
Relationship created,Success notification,Entity view,Toast confirming a new relationship was successfully created between entities.
Relationship type,Dropdown label,Settings > Templates,Label above the relationship type select dropdown in the relationship property editor.
Relationship Type,Card title,Settings > Relationship types,Title of the card inside the sidepanel form used to add or edit a relationship type.
Relationship type created successfully.,Toast notification,Settings > Templates,Success toast shown after creating a new relationship type from the Add relationship type modal.
Relationship type name,Input placeholder,Settings > Templates,Placeholder text for the name field in the Add relationship type modal.
Relationship type name already exists,Input validation error message,Settings > Templates,Error message shown under the name field in the Add relationship type modal when the entered name is already taken.
Relationship types,Table header / page heading and nav link label,Settings > Relationship types,"Heading text above the relationship types table, and the label for the settings sidebar link to this page."
relationships,Count label,Entity view,Word used in relationship-count summaries in the relationships panel's info row and graph view.
Relationships,Tab label/tooltip,Shared (used across 2 views),Label and tooltip for the Relationships tab (with a connection-count badge) of an entity or document's side panel.
Relationships saved,Success toast,Entity view,Toast shown after successfully saving relationship changes in the entity view's relationships editor.
relationships? This action cannot be undone.,Confirmation modal body text (fragment),Entity view,"Second half of the bulk-delete confirmation sentence, following the selected count."
RelationType saved,Success toast,Unresolved,Toast shown after saving a relationship type; the button/form that triggers this save (AddRelationshipTypeButton) is not currently referenced from any route in the codebase.
